1						Afadin : A Novel Actin Filament binding Protein with One PDZ Domain Localized at Cadherin based Cell-to-Cell Adherens Junction
2						A novel actin filament ( F-actin ) - binding protein with a molecular mass of ~ 205 kD ( p205 ) , which was concentrated at cadherin based cell-to-cell adherens junction ( AJ ) , was isolated and characterized .
3						p205 was purified from rat brain and its cDNA was cloned from a rat brain cDNA library .
4						p205 was a protein of 1,829 amino acids with a calculated molecular mass of 207,667 kD .
5						p205 had one F-actin-binding domain at 1,631-1 ,829 aa residues and one PDZ domain at 1,016- 1,100 aa residues , a domain known to interact with transmembrane proteins .
6						p205 was copurified from rat brain with another protein with a molecular mass of 190 kD ( p190 ) .
7						p190 was a protein of 1,663 aa with a calculated molecular mass of 188,971 kD .
8						p190 was a splicing variant of p205 having one PDZ domain at 1,009-1 ,093 aa residues but lacking the F-actin-binding domain .
9						Homology search analysis revealed that the aa sequence of p190 showed 90 % identity over the entire sequence with the product of the AF-6 gene , which was found to be fused to the ALL-1 gene , known to be involved in acute leukemia .
10						p190 is likely to be a rat counterpart of human AF-6 protein .
11						p205 bound along the sides of F-actin but hardly showed the F-actin-cross-linking activity .
12						Northern and Western blot analyses showed that p205 was ubiquitously expressed in all the rat tissues examined , whereas p190 was specifically expressed in brain .
13						Immunofluorescence and immunoelectron microscopic studies revealed that p205 was concentrated at cadherin based cell-to-cell AJ of various tissues .
14						We named p205 l-afadin ( a large splicing variant of AF-6 protein localized at adherens junction ) and p190 s-afadin ( a small splicing variant of l-afadin ) .
15						These results suggest that l-afadin serves as a linker of the actin cytoskeleton to the plasma membrane at cell-to-cell AJ .
16						In various cellular events , such as cell adhesion , cell motility , and cell shape determination , specialized membrane domains are formed with transmembrane proteins , such as cell adhesion molecules , receptors , and channels , and these domains are often associated with the actin cytoskeleton ( , ; ; ; ; , 1997 ; ) .
17						The linkage between the actin cytoskeleton and the plasma membrane plays crucial roles in these cellular events , and proteins linking the actin cytoskeleton to the transmembrane proteins have been identified .
18						However , the molecular basis of the linkage between the actin cytoskeleton and the plasma membrane is not fully understood .
19						To understand this molecular linkage , the cell adhesion sites have most extensively been studied ( , ; ; ; ; , 1997 ; ) .
20						The actin filament ( F-actin ) 1 -associated cell adhesion sites are subclassed into two types : cell-to-cell and cell-to-matrix adherens junctions ( AJ ) .
21						Many linker proteins have been identified at cell-to-cell AJ where cadherins interact with each other at the extracellular surface .
22						The cytoplasmic domain of cadherin is associated with cytoplasmic proteins such as alpha - , beta - , and gamma-catenins .
23						alpha-Catenin directly interacts with F-actin .
24						alpha-Catenin also interacts indirectly with F-actin through alpha-actinin and and or ZO-1 .
25						Vinculin , another F-actin-binding protein , is concentrated at cell-to-cell AJ , although its interacting molecule at cell-to-cell AJ has not yet been identified .
26						At cell-to-matrix AJ where integrin interacts with matrix proteins at the extracellular surface , the cytoplasmic domain interacts directly or indirectly with F-actin-binding proteins , including alpha-actinin , vinculin , and talin .
27						Thus , many F-actin- binding proteins appear to serve as linkers of the actin cytoskeleton to the plasma membrane cadherin and integrin .
28						The linkage between the actin cytoskeleton and the plasma membrane is also important for neuron specific events , such as growth cone pathfinding and the subsequent formation and maintenance of synaptic junction .
29						However , it remains to be clarified which molecules link the actin cytoskeleton to the plasma membrane in these neuron specific events .
30						To address this issue , we attempted to isolate novel F-actin-binding proteins from the rat brain by using a blot overlay method with 125 I labeled F-actin .
31					 F-actin-binding protein that is concentrated at synapse and named it neurabin .	We had isolated a neural tissue specific F-actin-binding protein that is concentrated at synapse and named it neurabin .
32					Neurabin has one F-actin- binding domain and one PDZ domain .	Neurabin has one F-actin- binding domain and one PDZ domain .
33						The PDZ domain has been found in a variety of proteins , some of which are localized at cell-to-cell junctions , such as PSD-95 / SAP90 at synaptic junction , Dlg at septate junction , and ZO-1 and ZO-2 at tight junction ( ; Gumbiner , 1991 ; ; ; ; ) .
34						Recent studies have revealed that the PDZ domain binds to unique COOH-terminal motifs of target proteins , which are found in a large number of transmembrane proteins , such as N-methyl-d-aspartate receptors and Shaker-type K + channel .
35						It is likely , therefore , that neurabin serves as a linker of the actin cytoskeleton to a transmembrane protein ( s ) at the synapse although we have not yet identified its interacting transmembrane protein ( s ) .
36						Along this line , we further attempted to isolate other novel F-actin-binding proteins from rat brain .
37						Here , we isolated a novel F-actin-binding protein with a molecular mass of ~ 205 kD ( p205 ) .
38						p205 also had one F-actin-binding domain and one PDZ domain , and was localized at cadherin based cell-to-cell AJ .
39						During the purification of p205 , it was copurified with another protein with a molecular mass of 190 kD ( p190 ) that was a splicing variant of p205 having one PDZ domain but lacking the F-actin- binding domain .
40						Homology search analysis revealed that the amino acid sequence of p190 showed 90 % identity over the entire sequence with the product of the AF-6 gene , which has been found to be fused to the ALL-1 gene , known to be involved in acute leukemia .
41						We named p205 l-afadin ( a large splicing variant of AF-6 protein localized at adherens junction ) and p190 s-afadin ( a small splicing variant of l-afadin ) .
42						We describe here isolation and characterization of l-afadin .
43						Materials and Methods
44						125 I labeled F-Actin Blot Overlay
45						125 I labeled F-actin blot overlay was done as described .
46						Briefly , purified actin monomer ( G-actin ) was labeled with 125 I-Bolton Hunter reagent .
47						125 I labeled G-actin ( 1 mg and ml , average specific activity = 63.3 muCi and mg ) was polymerized with 18 mug and ml of gelsolin ( molar ratio = 100:1 ; Sigma Chemical Co. , St. Louis , MO ) by incubation for 10 min at 4degreesC in a solution containing 20 mM Pipes , pH 7.0 , 50 mM KCl , and 2 mM MgCl 2 .
48						Phalloidin was then added to give a final concentration of 40 muM .
49						The mixture was then incubated for another 15 min at room temperature and stored at 4degreesC as 125 I labeled F-actin .
50						The sample to be tested was subjected to SDS-PAGE and transferred to a nitrocellulose membrane .
51						The membrane was blocked in TBS containing 5 % defatted powder milk .
52						The membrane was then incubated for 1 h at room temperature with 10 mug and ml of 125 I labeled F-actin in TBS containing 5 % defatted powder milk and 4 muM phalloidin .
